Price,Close,High,Low,Open,Volume
Ticker,^DJT,^DJT,^DJT,^DJT,^DJT
Date,,,,,
2012-06-18,5192.1298828125,5204.27001953125,5062.0498046875,5090.39013671875,12180000
2012-06-19,5250.740234375,5290.06005859375,5191.85009765625,5191.85009765625,11900000
2012-06-20,5228.93994140625,5251.919921875,5188.18017578125,5251.41015625,13880000
2012-06-21,5125.6201171875,5249.89013671875,5121.7001953125,5229.06005859375,16290000
2012-06-22,5083.22021484375,5128.5,5046.2998046875,5124.16015625,22640000
2012-06-25,4985.3798828125,5082.8798828125,4932.7001953125,5082.8798828125,13440000
2012-06-26,5003.330078125,5024.02978515625,4949.10009765625,4985.490234375,14450000
2012-06-27,5027.330078125,5043.25,4989.83984375,5004.2900390625,11990000
2012-06-28,5065.3798828125,5069.35986328125,4967.27978515625,5027.330078125,12740000
2012-06-29,5209.18017578125,5209.97021484375,5070.18017578125,5070.18017578125,17980000
2012-07-02,5206.7998046875,5228.85986328125,5140.259765625,5209.18017578125,12420000
2012-07-03,5237.56982421875,5237.91015625,5186.83984375,5207.91015625,7750000
2012-07-05,5249.1201171875,5265.7998046875,5191.77001953125,5237.27978515625,10740000
2012-07-06,5198.5,5247.60986328125,5175.89990234375,5247.60986328125,10370000
2012-07-09,5182.60009765625,5203.93017578125,5168.08984375,5197.56982421875,11480000
2012-07-10,5115.6201171875,5226.7099609375,5093.7099609375,5185.0400390625,13220000
2012-07-11,5104.35986328125,5142.43017578125,5074.35009765625,5115.5,15420000
2012-07-12,5078.47021484375,5103.2001953125,5024.77978515625,5103.2001953125,14190000
2012-07-13,5191.64990234375,5196.47021484375,5078.47021484375,5078.47021484375,10840000
2012-07-16,5150.10009765625,5191.1298828125,5137.14990234375,5191.1298828125,9460000
2012-07-17,5111.89990234375,5150.43994140625,5037.490234375,5150.43994140625,12780000
2012-07-18,5140.169921875,5164.9501953125,5095.93994140625,5110.0498046875,16210000
2012-07-19,5186.89013671875,5219.7998046875,5140.93017578125,5140.93017578125,14910000
2012-07-20,5072.2001953125,5186.77978515625,5066.68994140625,5186.77978515625,16100000
2012-07-23,5012.58984375,5066.509765625,4947.52978515625,5066.509765625,13850000
2012-07-24,4953.509765625,5028.60986328125,4912.41015625,5012.18994140625,19130000
2012-07-25,4934.0,4959.5400390625,4911.830078125,4940.4501953125,17150000
2012-07-26,5006.7900390625,5042.60009765625,4937.490234375,4937.490234375,15950000
2012-07-27,5126.64990234375,5158.740234375,5006.91015625,5006.91015625,13780000
2012-07-30,5112.3701171875,5160.02001953125,5088.31005859375,5126.759765625,13850000
2012-07-31,5088.33984375,5137.330078125,5085.52001953125,5111.5,16440000
2012-08-01,4986.7099609375,5105.02978515625,4974.22998046875,5088.39990234375,16150000
2012-08-02,4984.14990234375,4997.10009765625,4930.75,4985.66015625,13130000
2012-08-03,5086.31005859375,5115.0400390625,4988.22021484375,4988.22021484375,10720000
2012-08-06,5082.35986328125,5122.8701171875,5081.0,5086.830078125,8720000
2012-08-07,5092.4599609375,5124.8798828125,5081.5498046875,5082.419921875,12370000
2012-08-08,5075.56982421875,5090.89013671875,5062.6298828125,5090.89013671875,10520000
2012-08-09,5048.22998046875,5077.47998046875,5043.6201171875,5072.14013671875,8720000
2012-08-10,5063.5498046875,5069.10009765625,5016.7099609375,5047.77001953125,8700000
2012-08-13,5062.16015625,5063.259765625,5024.9599609375,5061.7001953125,8120000
2012-08-14,5081.77978515625,5104.7099609375,5064.080078125,5064.080078125,9650000
2012-08-15,5142.02978515625,5147.4501953125,5071.830078125,5081.14013671875,7500000
2012-08-16,5167.509765625,5176.2099609375,5130.25,5137.6201171875,9170000
2012-08-17,5194.3798828125,5195.22021484375,5165.8798828125,5168.31982421875,10450000
2012-08-20,5190.259765625,5208.7099609375,5170.3798828125,5193.509765625,10280000
2012-08-21,5194.14990234375,5223.97998046875,5180.68017578125,5190.5498046875,12680000
2012-08-22,5168.669921875,5194.5,5155.5498046875,5193.97998046875,8530000
2012-08-23,5115.43994140625,5168.43994140625,5091.009765625,5168.43994140625,10270000
2012-08-24,5118.580078125,5135.0,5090.75,5115.6201171875,6550000
2012-08-27,5073.47998046875,5134.47998046875,5067.240234375,5118.68994140625,6510000
2012-08-28,5061.990234375,5083.669921875,5050.08984375,5072.60986328125,11740000
2012-08-29,5050.669921875,5064.25,5041.2099609375,5057.68994140625,8810000
2012-08-30,4993.02978515625,5048.4599609375,4993.02978515625,5048.4599609375,8570000
2012-08-31,5007.490234375,5036.330078125,4986.52978515625,4993.72998046875,11080000
2012-09-04,5008.35986328125,5028.2900390625,4956.06005859375,5006.5,11620000
2012-09-05,4951.06982421875,5007.02001953125,4938.97021484375,5006.56005859375,13470000
2012-09-06,5044.6298828125,5051.68994140625,4949.81982421875,4949.81982421875,11600000
2012-09-07,5072.2001953125,5074.2900390625,5044.0498046875,5044.56982421875,11020000
2012-09-10,5098.60986328125,5111.240234375,5062.0498046875,5071.330078125,8790000
2012-09-11,5133.5,5147.3701171875,5095.5400390625,5098.14990234375,8130000
2012-09-12,5174.18017578125,5175.83984375,5129.169921875,5131.8701171875,7780000
